LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1965,34.415,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1966,35.647,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1967,36.493,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1968,35.685,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1969,37.413,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1970,37.327,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1971,38.735,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1972,38.347,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1973,40.45,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1974,43.974,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1975,43.622,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1976,44.996,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1977,45.435,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1978,43.973,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1979,44.467,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1980,43.964,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1981,45.768,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1982,45.162,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1983,44.284,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1984,44.938,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1985,45.229,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1986,46.609,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1987,45.068,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1988,45.607,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1989,44.089,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1990,42.972,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1991,41.57,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1992,41.017,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1993,41.386,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1994,40.161,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1995,40.61,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1996,41.266,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1997,41.987,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1998,44.407,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,1999,44.401,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2000,37.714,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2001,41.187,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2002,39.536,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2003,39.74,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2004,40.135,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2005,39.587,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2006,37.286,
AUS,TAXINCOME,TOT,PC_TOT_TAX,A,2007,36.711,
