LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,1960,2409.058207,
AUS,GDP,TOT,USD_CAP,A,1961,2379.705491,
AUS,GDP,TOT,USD_CAP,A,1962,2573.580478,
AUS,GDP,TOT,USD_CAP,A,1963,2748.475664,
AUS,GDP,TOT,USD_CAP,A,1964,2898.335391,
AUS,GDP,TOT,USD_CAP,A,1965,2997.714205,
AUS,GDP,TOT,USD_CAP,A,1966,3270.894847,
AUS,GDP,TOT,USD_CAP,A,1967,3442.171342,
AUS,GDP,TOT,USD_CAP,A,1968,3827.600452,
AUS,GDP,TOT,USD_CAP,A,1969,4201.74299,
AUS,GDP,TOT,USD_CAP,A,1970,4638.882122,
AUS,GDP,TOT,USD_CAP,A,1971,4849.898734,
AUS,GDP,TOT,USD_CAP,A,1972,5195.547601,
AUS,GDP,TOT,USD_CAP,A,1973,5779.64508,
AUS,GDP,TOT,USD_CAP,A,1974,6228.439959,
AUS,GDP,TOT,USD_CAP,A,1975,6919.788665,
AUS,GDP,TOT,USD_CAP,A,1976,7376.296715,
AUS,GDP,TOT,USD_CAP,A,1977,7706.334772,
AUS,GDP,TOT,USD_CAP,A,1978,8530.021615,
AUS,GDP,TOT,USD_CAP,A,1979,9430.067841,
AUS,GDP,TOT,USD_CAP,A,1980,10448.7112,
AUS,GDP,TOT,USD_CAP,A,1981,11923.06975,
AUS,GDP,TOT,USD_CAP,A,1982,11957.48866,
AUS,GDP,TOT,USD_CAP,A,1983,12740.15123,
AUS,GDP,TOT,USD_CAP,A,1984,13563.58526,
AUS,GDP,TOT,USD_CAP,A,1985,14470.97679,
AUS,GDP,TOT,USD_CAP,A,1986,14952.21733,
AUS,GDP,TOT,USD_CAP,A,1987,16011.63943,
AUS,GDP,TOT,USD_CAP,A,1988,17082.56312,
AUS,GDP,TOT,USD_CAP,A,1989,17783.92961,
AUS,GDP,TOT,USD_CAP,A,1990,17788.23897,
AUS,GDP,TOT,USD_CAP,A,1991,18125.99093,
AUS,GDP,TOT,USD_CAP,A,1992,19096.23678,
AUS,GDP,TOT,USD_CAP,A,1993,20120.12359,
AUS,GDP,TOT,USD_CAP,A,1994,21350.87324,
AUS,GDP,TOT,USD_CAP,A,1995,22356.14423,
AUS,GDP,TOT,USD_CAP,A,1996,23219.18823,
AUS,GDP,TOT,USD_CAP,A,1997,24403.17011,
AUS,GDP,TOT,USD_CAP,A,1998,25631.43358,
AUS,GDP,TOT,USD_CAP,A,1999,27098.22128,
AUS,GDP,TOT,USD_CAP,A,2000,28249.37753,
AUS,GDP,TOT,USD_CAP,A,2001,29474.97424,
AUS,GDP,TOT,USD_CAP,A,2002,30740.9629,
AUS,GDP,TOT,USD_CAP,A,2003,32245.44759,
AUS,GDP,TOT,USD_CAP,A,2004,33856.85236,
AUS,GDP,TOT,USD_CAP,A,2005,35570.80802,
AUS,GDP,TOT,USD_CAP,A,2006,37844.78209,
AUS,GDP,TOT,USD_CAP,A,2007,39597.74312,
AUS,GDP,TOT,USD_CAP,A,2008,40094.83321,
AUS,GDP,TOT,USD_CAP,A,2009,41615.32666,
AUS,GDP,TOT,USD_CAP,A,2010,42787.35854,
AUS,GDP,TOT,USD_CAP,A,2011,44419.30975,
AUS,GDP,TOT,USD_CAP,A,2012,43879.18036,
AUS,GDP,TOT,USD_CAP,A,2013,47761.21406,
AUS,GDP,TOT,USD_CAP,A,2014,47644.76279,
AUS,GDP,TOT,USD_CAP,A,2015,47304.81675,
AUS,GDP,TOT,USD_CAP,A,2016,50284.17279,
AUS,GDP,TOT,USD_CAP,A,2017,51297.1392,
AUS,GDP,TOT,USD_CAP,A,2018,53700.68089,
AUS,GDP,TOT,USD_CAP,A,2019,55961.85572,E
AUT,GDP,TOT,USD_CAP,A,1970,3822.519954,E
AUT,GDP,TOT,USD_CAP,A,1971,4202.511916,E
AUT,GDP,TOT,USD_CAP,A,1972,4629.799378,E
AUT,GDP,TOT,USD_CAP,A,1973,5093.81977,E
AUT,GDP,TOT,USD_CAP,A,1974,5761.288551,E
AUT,GDP,TOT,USD_CAP,A,1975,6288.679362,E
